"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
1.37256121116172,5.91313604303588,9.79924270830564,1.95036516133102e-19,4.46243548912537e-15,33.1767983840817,"AHRR","Upregulated"
1.16236164783462,7.37064673770266,9.66395587099798,5.13831852236289e-19,5.23934575957939e-15,32.2499341608394,"ME1","Upregulated"
2.02766083048528,4.40317809543641,9.62323667171333,6.86977153791004e-19,5.23934575957939e-15,31.9720738395165,"CYP1A1","Upregulated"
1.31943637357233,5.60195465478865,8.36798973078499,3.95614345645969e-15,1.50860937139663e-11,23.6899634844286,"FCGR2B","Upregulated"
2.40132661289377,7.06305185906781,8.12720186101501,1.93697665995004e-14,4.92422510885077e-11,22.1716982584454,"CCL2","Upregulated"
1.29029221543862,6.19079628706595,8.09559219228484,2.38152303077023e-14,5.44892469440229e-11,21.9742581002786,"FCN1","Upregulated"
-1.14399623337012,6.7094480423776,-7.70768192251081,2.89508134919362e-13,4.13996632934687e-10,19.5882462000488,"LPAR3","Downregulated"
1.07998929426241,6.56424721516978,7.30978070455582,3.47862827923074e-12,3.79004833470473e-09,17.2155766751063,"GPR183","Upregulated"
1.74408593754837,4.62662491839784,7.27198701063289,4.38675512323157e-12,4.56222532816083e-09,16.9943566641031,"CYP1B1","Upregulated"
1.11617925149384,5.8134363566955,7.170193659917,8.16289022936377e-12,7.47067713791372e-09,16.4022135746826,"HS3ST2","Upregulated"
1.576267135902,5.14354373106131,7.10987143386218,1.1763601674429e-11,9.61254308253339e-09,16.0538816816566,"SRPX","Upregulated"
1.07780691011688,3.81965397579548,6.94823836015232,3.101416296493e-11,2.2890453181858e-08,15.1301297150559,"CYTL1","Upregulated"
1.48855610348341,4.52129574381474,6.93691239168613,3.31764013064297e-11,2.30023049057912e-08,15.0659317082625,"SFRP2","Upregulated"
1.13496007842348,6.7980517491032,6.43150528012357,6.23488520045936e-10,2.30087376429855e-07,12.2747021151036,"RNASE6","Upregulated"
1.46535838150017,5.71096941010778,6.42534392857169,6.45597649548977e-10,2.30801159713759e-07,12.2415871639261,"TIMP3","Upregulated"
-1.18153913471358,4.93181950774357,-6.37484398985086,8.58279335428099e-10,2.76583537952041e-07,11.9710219637418,"EDARADD","Downregulated"
-1.12630291507529,5.49278834086202,-6.27673550736073,1.4858583581856e-09,4.14763290889635e-07,11.4497637031755,"FAR2P2","Downregulated"
-1.67859251547928,6.29157350331179,-6.2766607172859,1.48647682923733e-09,4.14763290889635e-07,11.4493685605652,"SEC14L3","Downregulated"
1.1994069851195,7.32448799072719,6.2541991504162,1.68410907683868e-09,4.42901329632978e-07,11.3308502806056,"ITGAM","Upregulated"
1.23107176130442,7.41744865527234,6.23991454217578,1.82296054041326e-09,4.73969740507447e-07,11.2556378294987,"PHLDA1","Upregulated"
1.13267894880089,6.89184455172297,6.1818506636051,2.51232386868974e-09,6.05073369638119e-07,10.9512032235602,"GPR34","Upregulated"
-1.05485505362431,5.85832676246718,-6.13301794978833,3.2849555086401e-09,7.59189717552379e-07,10.6967785635726,"PPP1R16B","Downregulated"
1.6116660887782,5.81963727267463,6.08152404013572,4.35144436915582e-09,9.57317761214281e-07,10.4300946277934,"CLEC5A","Upregulated"
-1.09678945669032,5.92016798750306,-6.02406996980165,5.94320547569217e-09,1.19281176564769e-06,10.1345041262056,"ITLN1","Downregulated"
1.34454680533794,8.79353413567838,5.96618584054194,8.11911336768769e-09,1.5226665069893e-06,9.8388092671095,"MRC1","Upregulated"
1.30892887611034,4.71015395643648,5.92746041875118,9.99164861249541e-09,1.70603671831265e-06,9.6421747549841,"COL15A1","Upregulated"
1.29873517950166,7.03035732053477,5.73029101921713,2.83164770456428e-08,4.00542205085445e-06,8.65601831949722,"IGSF6","Upregulated"
