"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
1.37256121116172,5.91313604303588,9.79924270830564,1.95036516133102e-19,4.46243548912537e-15,33.1767983840817,"AHRR","Upregulated"
1.16236164783462,7.37064673770266,9.66395587099798,5.13831852236289e-19,5.23934575957939e-15,32.2499341608394,"ME1","Upregulated"
2.02766083048528,4.40317809543641,9.62323667171333,6.86977153791004e-19,5.23934575957939e-15,31.9720738395165,"CYP1A1","Upregulated"
1.31943637357233,5.60195465478865,8.36798973078499,3.95614345645969e-15,1.50860937139663e-11,23.6899634844286,"FCGR2B","Upregulated"
2.40132661289377,7.06305185906781,8.12720186101501,1.93697665995004e-14,4.92422510885077e-11,22.1716982584454,"CCL2","Upregulated"
1.29029221543862,6.19079628706595,8.09559219228484,2.38152303077023e-14,5.44892469440229e-11,21.9742581002786,"FCN1","Upregulated"
1.07998929426241,6.56424721516978,7.30978070455582,3.47862827923074e-12,3.79004833470473e-09,17.2155766751063,"GPR183","Upregulated"
1.74408593754837,4.62662491839784,7.27198701063289,4.38675512323157e-12,4.56222532816083e-09,16.9943566641031,"CYP1B1","Upregulated"
1.11617925149384,5.8134363566955,7.170193659917,8.16289022936377e-12,7.47067713791372e-09,16.4022135746826,"HS3ST2","Upregulated"
1.576267135902,5.14354373106131,7.10987143386218,1.1763601674429e-11,9.61254308253339e-09,16.0538816816566,"SRPX","Upregulated"
1.07780691011688,3.81965397579548,6.94823836015232,3.101416296493e-11,2.2890453181858e-08,15.1301297150559,"CYTL1","Upregulated"
1.48855610348341,4.52129574381474,6.93691239168613,3.31764013064297e-11,2.30023049057912e-08,15.0659317082625,"SFRP2","Upregulated"
1.13496007842348,6.7980517491032,6.43150528012357,6.23488520045936e-10,2.30087376429855e-07,12.2747021151036,"RNASE6","Upregulated"
1.46535838150017,5.71096941010778,6.42534392857169,6.45597649548977e-10,2.30801159713759e-07,12.2415871639261,"TIMP3","Upregulated"
1.1994069851195,7.32448799072719,6.2541991504162,1.68410907683868e-09,4.42901329632978e-07,11.3308502806056,"ITGAM","Upregulated"
1.23107176130442,7.41744865527234,6.23991454217578,1.82296054041326e-09,4.73969740507447e-07,11.2556378294987,"PHLDA1","Upregulated"
1.13267894880089,6.89184455172297,6.1818506636051,2.51232386868974e-09,6.05073369638119e-07,10.9512032235602,"GPR34","Upregulated"
1.6116660887782,5.81963727267463,6.08152404013572,4.35144436915582e-09,9.57317761214281e-07,10.4300946277934,"CLEC5A","Upregulated"
1.34454680533794,8.79353413567838,5.96618584054194,8.11911336768769e-09,1.5226665069893e-06,9.8388092671095,"MRC1","Upregulated"
1.30892887611034,4.71015395643648,5.92746041875118,9.99164861249541e-09,1.70603671831265e-06,9.6421747549841,"COL15A1","Upregulated"
1.29873517950166,7.03035732053477,5.73029101921713,2.83164770456428e-08,4.00542205085445e-06,8.65601831949722,"IGSF6","Upregulated"
1.07173947076734,5.10666650205345,5.58240822111968,6.0830696982679e-08,7.60549916373604e-06,7.93312682575048,"CCL13","Upregulated"
1.05411264662985,3.8264905329875,5.53799544860677,7.63177568385343e-08,9.14214804432285e-06,7.71887920336849,"SPP1","Upregulated"
1.11502217461526,8.42203149967598,5.42352462564763,1.36099945461356e-07,1.35981080880167e-05,7.17283236447022,"CD163","Upregulated"
1.32655496944682,6.91694994631091,5.41155286411298,1.44514196895056e-07,1.41302770297388e-05,7.11624152711128,"TREM2","Upregulated"
1.24716586794563,8.66022905857694,5.30715658984976,2.42825874508607e-07,2.13686769567574e-05,6.62694553640253,"ACP5","Upregulated"
1.10316301098159,7.22513971938801,5.25791349539209,3.09371079009494e-07,2.5833614188822e-05,6.39877422321767,"COLEC12","Upregulated"
1.45479366327216,5.85439416730151,5.19484049448735,4.20863167551824e-07,3.28129442227322e-05,6.10900313032375,"DNASE2B","Upregulated"
1.23957826056429,8.19627927492489,5.15123502147722,5.19809640517478e-07,3.87402103421495e-05,5.91031056001137,"MCEMP1","Upregulated"
1.45868354471765,5.25824164330404,5.13734862476703,5.55810254095261e-07,4.11551411446588e-05,5.84731879463525,"CHIT1","Upregulated"
1.30482544226873,6.19577787797616,5.1086277152181,6.38102214566603e-07,4.54407444175263e-05,5.71746964206004,"MMP12","Upregulated"
1.23737309272408,8.54690683652089,5.10669353632354,6.44049722128506e-07,4.56218502857592e-05,5.70874621699423,"BCL2A1","Upregulated"
1.21064577363149,4.67421049151472,5.09527836349749,6.80260726346392e-07,4.69016111008954e-05,5.65731653635428,"CCDC102B","Upregulated"
1.0504954922187,5.47085819860757,5.02278604507757,9.60740678033519e-07,5.95711293046258e-05,5.33288982244715,"RP11-389C8.2","Upregulated"
1.15873173820056,5.33097505043122,4.97089304646115,1.22726614378763e-06,7.14499983965927e-05,5.10297637826159,"PTX3","Upregulated"
1.11994677205793,5.93478954212362,4.95661047783012,1.3123767070942e-06,7.43247006393944e-05,5.04003932156962,"TMEM163","Upregulated"
1.09033026255133,8.73781224517388,4.78981909362537,2.84057508572635e-06,0.000133535152663047,4.31610047354604,"VSIG4","Upregulated"
1.08934554740462,5.66789724716685,4.72566054720495,3.80251806905308e-06,0.000165088450512209,4.04309492313742,"LOC101928429","Upregulated"
1.01644270452815,5.96214401933933,4.63460765786991,5.72249507179651e-06,0.000223431206898813,3.66092821867513,"AP1S2","Upregulated"
1.03793482785424,6.56050496548566,4.62378539212173,6.00493030834153e-06,0.000232475136133425,3.61591945163684,"FAM20C","Upregulated"
