"","GSE_ID","title","phenotype","tissuetype"
"GSM300890","GSE11906","trachea, non-smoker 039","Healthy Non-Smoker","trachea"
"GSM300891","GSE11906","trachea, non-smoker 041","Healthy Non-Smoker","trachea"
"GSM300892","GSE11906","trachea, non-smoker 046","Healthy Non-Smoker","trachea"
"GSM300893","GSE11906","trachea, non-smoker 047","Healthy Non-Smoker","trachea"
"GSM300894","GSE11906","trachea, non-smoker 048","Healthy Non-Smoker","trachea"
"GSM300895","GSE11906","trachea, non-smoker 050","Healthy Non-Smoker","trachea"
"GSM300896","GSE11906","trachea, non-smoker 059","Healthy Non-Smoker","trachea"
"GSM300897","GSE11906","trachea, non-smoker 066","Healthy Non-Smoker","trachea"
"GSM300898","GSE11906","trachea, smoker 042","Smoker","trachea"
"GSM300899","GSE11906","trachea, smoker 044","Smoker","trachea"
"GSM300900","GSE11906","trachea, smoker 058","Smoker","trachea"
"GSM300901","GSE11906","trachea, smoker 086","Smoker","trachea"
"GSM300902","GSE11906","trachea, smoker 087","Smoker","trachea"
"GSM300903","GSE11906","trachea, smoker 093","Smoker","trachea"
"GSM300904","GSE11906","trachea, smoker 112","Smoker","trachea"
"GSM300905","GSE11906","trachea, smoker 120","Smoker","trachea"
"GSM300906","GSE11906","trachea, smoker 124","Smoker","trachea"
"GSM300907","GSE11906","trachea, smoker 130","Smoker","trachea"
"GSM300908","GSE11906","trachea, smoker 134","Smoker","trachea"
"GSM300909","GSE11906","trachea, smoker 136","Smoker","trachea"
"GSM300910","GSE11906","trachea, smoker 152","Smoker","trachea"
"GSM300911","GSE11906","trachea, smoker 164","Smoker","trachea"
"GSM300912","GSE11906","trachea, smoker 186","Smoker","trachea"
"GSM300913","GSE11906","trachea, SYMs-127","Smoker","trachea"
"GSM300914","GSE11906","trachea, SYMs-144","Smoker","trachea"
"GSM300915","GSE11906","trachea, SYMs-151","Smoker","trachea"
"GSM252801","GSE18385","large airways, non-smoker 005","Healthy Non-Smoker","large_airways"
"GSM252802","GSE18385","large airways, non-smoker 008","Healthy Non-Smoker","large_airways"
"GSM252803...424","GSE18385","large airways, non-smoker 011","Healthy Non-Smoker","large_airways"
"GSM252804","GSE18385","large airways, non-smoker 030","Healthy Non-Smoker","large_airways"
