Rank,Name,Score
1,SCGB1A1,0.183941606
1,MUC5B,0.183941606
1,DNAI1,0.183941606
4,CCNO,0.153284672
4,DNAH5,0.153284672
4,SPAG6,0.153284672
4,SFTPC,0.153284672
4,KRT5,0.153284672
4,CCDC114,0.153284672
4,TEKT1,0.153284672
4,DAW1,0.153284672
4,CYP2F1,0.153284672
4,MUC16,0.153284672
4,LTF,0.153284672
4,SPP1,0.153284672
4,CASC1,0.153284672
4,SPAG17,0.153284672
18,COL3A1,0.131386861
18,CLCA2,0.131386861
18,PPARG,0.131386861
