"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
-1.14399623337012,6.7094480423776,-7.70768192251081,2.89508134919362e-13,4.13996632934687e-10,19.5882462000488,"LPAR3","Downregulated"
-1.18153913471358,4.93181950774357,-6.37484398985086,8.58279335428099e-10,2.76583537952041e-07,11.9710219637418,"EDARADD","Downregulated"
-1.12630291507529,5.49278834086202,-6.27673550736073,1.4858583581856e-09,4.14763290889635e-07,11.4497637031755,"FAR2P2","Downregulated"
-1.67859251547928,6.29157350331179,-6.2766607172859,1.48647682923733e-09,4.14763290889635e-07,11.4493685605652,"SEC14L3","Downregulated"
-1.05485505362431,5.85832676246718,-6.13301794978833,3.2849555086401e-09,7.59189717552379e-07,10.6967785635726,"PPP1R16B","Downregulated"
-1.09678945669032,5.92016798750306,-6.02406996980165,5.94320547569217e-09,1.19281176564769e-06,10.1345041262056,"ITLN1","Downregulated"
-1.39335832430259,6.77536849599583,-5.37583457364083,1.72737995955315e-07,1.63993582882059e-05,6.94798570825422,"ATP12A","Downregulated"
-1.03595473879261,6.19550624929899,-5.23590184707414,3.44557662194984e-07,2.83578392482778e-05,6.29733030184702,"WFDC6","Downregulated"
-1.03425003994556,6.09247228964696,-5.23448482807668,3.4695133399008e-07,2.83607804156215e-05,6.29081140849919,"SAA1","Downregulated"
-1.37313947695337,7.18879765813692,-5.09996508974251,6.65160910864135e-07,4.6811541582515e-05,5.67842075507824,"MB","Downregulated"
-1.08081249977871,5.14988082364036,-4.95910459779463,1.29711350818134e-06,7.41785719956036e-05,5.05101914696305,"ZNF837","Downregulated"
-1.01945471866232,5.5539557033535,-4.76379389921015,3.19848004016208e-06,0.000146362446637817,4.20498994092703,"PART1","Downregulated"
-1.04597836997841,6.66270132009829,-4.74802247784231,3.43614358652639e-06,0.000154021476325365,4.1379011222819,"SIX2","Downregulated"
-1.71231534345886,6.89666382216318,-4.71014042086686,4.07864360829437e-06,0.000174103294324207,3.97751474000269,"CYP2F1","Downregulated"
-1.13771986437593,9.25386702110319,-4.68743907984988,4.51761180191758e-06,0.000187591575368193,3.88191481635831,"SLC22A4","Downregulated"
-1.08902750736804,5.19029319250571,-4.68455071657615,4.57662587981847e-06,0.000189635082928161,3.86977901530685,"ISL1","Downregulated"
-1.10743121518822,7.21334082026122,-4.61323567854914,6.29314043618677e-06,0.000240445099198511,3.57212930074718,"PTPN3","Downregulated"
-1.1247996355976,6.31365574481945,-4.59712014587529,6.75925915167372e-06,0.000252286866868344,3.50539875082452,"ZNF295-AS1","Downregulated"
-1.39924512019229,6.7334951751321,-4.56429318085234,7.81360344802003e-06,0.000277170925411935,3.37007872657019,"CCDC81","Downregulated"
-1.20471493569127,6.2177230744488,-4.5225953987986,9.38239570753581e-06,0.000318973571750995,3.19937218238372,"PTGFR","Downregulated"
-2.0949441714711,8.09384485251961,-4.51065693597242,9.88464230693792e-06,0.00033242022415365,3.15074142330872,"SERPINB3","Downregulated"
-1.52051165369157,6.57503256717141,-4.49520958907755,1.05729436303999e-05,0.000350085311524673,3.08797906828286,"NTS","Downregulated"
-1.37789885551816,6.12613479965196,-4.41979638361835,1.46489032568302e-05,0.000438700139419207,2.78420465339585,"CHP2","Downregulated"
-1.04034617296087,4.94959839623422,-4.35365879267063,1.94297382215131e-05,0.00053754825938116,2.5214048225863,"CLCA4","Downregulated"
-1.07289910161912,5.07843652400633,-4.34310869484189,2.0318930644456e-05,0.000556053999021706,2.4797974275867,"PITX1","Downregulated"
