"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","threshold"
"LOC101927416",-1.06536880769566,7.80141890925207,-2.67891804631436,0.00786856105876259,0.0335021797280269,-2.93985341058782,"LOC101927416","Downregulated"
"GSTA1",-1.25290049189584,8.60046886175199,-2.67887501578014,0.00786954393934564,0.0335021797280269,-2.93996278840583,"GSTA1","Downregulated"
"KCNRG /// TRIM13",-1.04409785262592,7.43797637244634,-2.63505198100704,0.00892988546394145,0.0366050602992971,-3.05049377471984,"KCNRG /// TRIM13","Downregulated"
"CYP4X1",-1.10626541783426,7.15557302942228,-2.63047823094419,0.00904763864900414,0.0368692842451882,-3.06193046672153,"CYP4X1","Downregulated"
"C20orf85",-1.20083552479892,8.48973223116578,-2.62065348713156,0.00930530823660677,0.0376206257739318,-3.08643378034931,"C20orf85","Downregulated"
"C9orf24",-1.11359274523711,8.76848814034022,-2.60594799583101,0.00970329873003026,0.0387555254591683,-3.12294779488567,"C9orf24","Downregulated"
"KIF21A",-1.03343865793351,7.69019224297377,-2.56414999060835,0.0109191657346759,0.0419500839705172,-3.22567038287897,"KIF21A","Downregulated"
"FAM216B",-1.07199770186873,7.56694283000272,-2.54819016545926,0.011418230330622,0.0433104653453574,-3.26447778833372,"FAM216B","Downregulated"
"C4orf47",-1.03558844701038,7.20662419798925,-2.51312211134914,0.012586981564315,0.0464988838344986,-3.34894024583976,"C4orf47","Downregulated"
"SCGB1A1",-1.07234602295516,9.91244585046547,-2.48772098613931,0.0134989106980824,0.0487053776366085,-3.40942505947198,"SCGB1A1","Downregulated"
"FAM81B",-1.11049211415693,7.7709879107107,-2.48768309364663,0.013500313843987,0.0487053776366085,-3.40951485213988,"FAM81B","Downregulated"
