"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","threshold"
"PTPN3",-1.10923843226113,7.21306296426762,-4.61900544678059,6.1339019858538e-06,0.000235359720406635,3.59655254486371,"PTPN3","Downregulated"
"FAM20C",1.03631631757658,6.56008996333783,4.6180254658754,6.16067158854836e-06,0.000236001883443397,3.59248508741726,"FAM20C","Upregulated"
"AEBP1",1.06321481007503,5.16380481066367,4.61465320388739,6.2536517974193e-06,0.000238013177875565,3.57849389640602,"AEBP1","Upregulated"
"ZNF295-AS1",-1.12493977164252,6.31342849463854,-4.59689816977825,6.76590299145867e-06,0.000253449831380383,3.50497175213954,"ZNF295-AS1","Downregulated"
"C11orf96",1.41969423819566,5.07030474719856,4.57933666616164,7.31215506038833e-06,0.000265415430826225,3.43248576321722,"C11orf96","Upregulated"
"CCDC81",-1.40021884721319,6.73244044415824,-4.56322425307037,7.85046234103012e-06,0.000277670262741909,3.36618672748565,"CCDC81","Downregulated"
"AKR1B10",1.19920685062883,5.852243105067,4.54251053383243,8.59868300637434e-06,0.000299629071100638,3.28124418433763,"AKR1B10","Upregulated"
"PTGFR",-1.20522916767331,6.21613615990867,-4.52124192111113,9.43807531609834e-06,0.000319874595835662,3.19436614980644,"PTGFR","Downregulated"
"CCL8",1.1147795769225,5.31280269055048,4.51244474075425,9.80781517258343e-06,0.000329086477424158,3.15853232700927,"CCL8","Upregulated"
"SERPINB3",-2.09389294311255,8.09242577718557,-4.50649919194006,1.0065542015705e-05,0.000335342229109626,3.13434762427159,"SERPINB3","Downregulated"
"NTS",-1.52115173257072,6.57345147391308,-4.49462488771056,1.05998766028829e-05,0.000349676995198328,3.08612743428127,"NTS","Downregulated"
"GPNMB",1.3034678652181,6.71046723491556,4.48332432104126,1.11336238430074e-05,0.000364612666419283,3.04033736543498,"GPNMB","Upregulated"
"TUBB6",1.13791432082788,7.80950571312768,4.48161949044516,1.12163538516018e-05,0.000365401466680785,3.03343785975759,"TUBB6","Upregulated"
"FABP3",1.15921592677302,5.79147001668772,4.46952976996305,1.18201969400477e-05,0.000375852383401989,2.98457430885166,"FABP3","Upregulated"
"CHP2",-1.37813795118102,6.12629445575219,-4.41901802199014,1.46979536154304e-05,0.000439835326957429,2.78163402907457,"CHP2","Downregulated"
"NAPSA",1.07199000629085,6.30108000867812,4.40364702190177,1.56995999321597e-05,0.000461393624372525,2.72026846769401,"NAPSA","Upregulated"
"ATP6V0D2",1.37728873587301,5.38071726108177,4.39150811984149,1.65365603559073e-05,0.000479601030988033,2.67193544378712,"ATP6V0D2","Upregulated"
"PLA2G7",1.48845521381732,7.2403147947673,4.37447479284623,1.77834162586692e-05,0.000501922023670154,2.60430679229214,"PLA2G7","Upregulated"
"CA2",1.3870701872835,7.15816795287368,4.36915126538126,1.81912454611943e-05,0.000509376529158037,2.58321652722923,"CA2","Upregulated"
"ADAMTS1",1.29531873949988,4.31713770666773,4.36568250463968,1.84617895600438e-05,0.000514502076115865,2.56948613699042,"ADAMTS1","Upregulated"
"CLCA4",-1.04125922549272,4.94803964890614,-4.3547638749931,1.93387792952825e-05,0.000534057435217397,2.52632791475095,"CLCA4","Downregulated"
"PITX1",-1.07281016531313,5.07706689669083,-4.34141970568523,2.04648477486116e-05,0.000556587234042491,2.4737080144078,"PITX1","Downregulated"
"LOC100132891",1.0699179128917,4.55929277195489,4.33135017660972,2.13558772107613e-05,0.000574727217247502,2.43409266952823,"LOC100132891","Upregulated"
"KRT5",-1.38726622346731,6.77687684133624,-4.31485503925584,2.28962885888987e-05,0.000600914808335908,2.36936850151929,"KRT5","Downregulated"
"LOC101928620 /// POU2AF1",-1.76324792109847,6.67155658186377,-4.28982395598245,2.54386408383669e-05,0.000650257268826998,2.27155630428264,"LOC101928620 /// POU2AF1","Downregulated"
"SFTPA1 /// SFTPA2",1.4871360313836,6.85887433148061,4.28441833824369,2.60220880150292e-05,0.000660264867531285,2.25049745752903,"SFTPA1 /// SFTPA2","Upregulated"
"LY96",1.09672927730089,7.89099822909552,4.27569052871056,2.69912202816217e-05,0.00067569850972319,2.21654451256977,"LY96","Upregulated"
"CCNO",-1.05059776952185,6.8458178984867,-4.26442000044692,2.8293853811514e-05,0.000696925259033297,2.17278816381335,"CCNO","Downregulated"
"EHF",-1.24315758844895,6.9058228650884,-4.25920063646474,2.89172695056437e-05,0.000708503225044005,2.15255840883596,"EHF","Downregulated"
"CYBB",1.13674160922085,7.49844217144583,4.24812757927709,3.02836397566961e-05,0.000732067308034172,2.10971109265197,"CYBB","Upregulated"
"LYPD6B",-1.12787024874109,6.4893607203892,-4.21293311057244,3.50482986901121e-05,0.000816720640950041,1.97416580955361,"LYPD6B","Downregulated"
"CD36",1.13887850096393,7.42512309148491,4.20932376849,3.55755510697161e-05,0.000824406440109155,1.96032021396683,"CD36","Upregulated"
"MYB",-1.04255649600254,8.01765694912265,-4.19790878333241,3.72933783192975e-05,0.000854292059072051,1.91659947176541,"MYB","Downregulated"
"COL6A2",1.16841209111937,5.08414533318247,4.18343836883757,3.95850580773544e-05,0.000889283811879133,1.861323961236,"COL6A2","Upregulated"
"ITGA5",1.06201762656474,6.72052603873254,4.1725635303197,4.13951459571992e-05,0.000919410035938888,1.81989214037744,"ITGA5","Upregulated"
"FRMPD2 /// FRMPD2P1 /// LOC101930006",-1.03821473246008,5.67396361058871,-4.16569853892073,4.2578193668008e-05,0.000933347337619026,1.79378554581804,"FRMPD2 /// FRMPD2P1 /// LOC101930006","Downregulated"
"CCL7",1.00699142775599,4.96137100344676,4.13209862598708,4.88491004293239e-05,0.00102955169462198,1.66654877226412,"CCL7","Upregulated"
"MS4A4A",1.01239701418146,7.75438299195678,4.11851297107737,5.16268627081467e-05,0.00107082490102145,1.61535693215457,"MS4A4A","Upregulated"
"UGT2A1 /// UGT2A2",-1.2977453294218,6.29466383574603,-4.09512025000733,5.67660315621138e-05,0.00115401368052937,1.52755559432786,"UGT2A1 /// UGT2A2","Downregulated"
"SMIM5",-1.11084470982928,6.59909666407675,-4.07382991787071,6.18639456250887e-05,0.00122111600529747,1.44802467111515,"SMIM5","Downregulated"
"ZEB2",1.0073319488049,6.54904024136864,4.07375007369948,6.188386030843e-05,0.00122111600529747,1.44772709135478,"ZEB2","Upregulated"
"CPM",1.21330344003258,7.07536998905125,4.05525601450584,6.66648296028089e-05,0.00128631948899727,1.37893697988143,"CPM","Upregulated"
"ENPP5",-1.28357274455514,7.78700471993318,-4.05431077187211,6.69183989802322e-05,0.00128862282937166,1.37542842827227,"ENPP5","Downregulated"
"PHACTR1",1.07664233258083,5.99736099033803,4.03381285405653,7.26483187543196e-05,0.00136482516407376,1.29952037164376,"PHACTR1","Upregulated"
"CNTD1",-1.06616753542461,6.42361661497722,-4.00077125387544,8.28783916768248e-05,0.00149436367594829,1.17787051079901,"CNTD1","Downregulated"
"SERPINB11",-1.47506109981411,6.78179964534852,-3.99636230713015,8.43428074677727e-05,0.00151437188889273,1.16170441062101,"SERPINB11","Downregulated"
"VWA3B",-1.16127629151668,6.9295696844616,-3.96479654164356,9.55687763673078e-05,0.00165624240087543,1.04642120177674,"VWA3B","Downregulated"
"SLC23A1",-1.02215977199628,6.12878915199552,-3.96129630636505,9.68975585472472e-05,0.0016660288556943,1.03368731331804,"SLC23A1","Downregulated"
"HS3ST6",-1.01569130991898,6.25802509398545,-3.95109099651923,0.000100872650919761,0.00170703316687902,0.996616823857694,"HS3ST6","Downregulated"
"TFEC",1.19220137787859,6.64354134867198,3.93915798022343,0.000105717080250031,0.00175853708950564,0.953377334390554,"TFEC","Upregulated"
"RP11-999E24.3",-1.14924544976311,5.89977237160255,-3.92223820928776,0.000112965845103093,0.00183823789773389,0.892265936723729,"RP11-999E24.3","Downregulated"
"LOC100101148 /// LOC541473",-1.02238671192198,6.27474176181349,-3.91586751860009,0.000115815460688212,0.00187099664769277,0.869316211443313,"LOC100101148 /// LOC541473","Downregulated"
"SFTPC",1.51094737805882,5.80216747139112,3.90900319492553,0.000118962147270783,0.00190866893994276,0.844625090516483,"SFTPC","Upregulated"
"TEX26",-1.33992388303502,6.277325777031,-3.87388028322287,0.000136372792713973,0.00210889181947755,0.71888651487556,"TEX26","Downregulated"
"SLITRK6",-1.25690981844922,6.6283588017112,-3.87073743173425,0.000138043245476906,0.00212772947369744,0.707684177954108,"SLITRK6","Downregulated"
"RASSF10",-1.01683384479191,5.74112197561345,-3.86383012982061,0.000141782919109838,0.002162695227226,0.68309217554405,"RASSF10","Downregulated"
"CRTAM",1.17334368400966,6.01220048170515,3.83063387778855,0.000161134124328481,0.00236037860173034,0.565447128951196,"CRTAM","Upregulated"
"CLCA2",-1.17109446741278,6.60371437634357,-3.82715401497151,0.000163301525586539,0.00237833757481176,0.553166905214439,"CLCA2","Downregulated"
"CCDC170",-1.11129734633226,7.80263449419489,-3.81571569679418,0.000170621812760431,0.00244260234810596,0.512871606918826,"CCDC170","Downregulated"
"FHOD3",-1.04686982879477,5.66224438930174,-3.78121198454665,0.000194630007221842,0.00266457968634259,0.3919704166176,"FHOD3","Downregulated"
"COL3A1",1.03753581137433,4.63297195809077,3.75868042090534,0.000211994930137086,0.00281713714788384,0.313547478674552,"COL3A1","Upregulated"
"PRR18",-1.06020186350992,6.72576966927667,-3.74737122948057,0.000221252892248479,0.00290671862760946,0.274342421370078,"PRR18","Downregulated"
"APOBEC4",-1.20703915877908,6.78849752671154,-3.74475685131672,0.00022344675912042,0.00292876387254319,0.265294273231392,"APOBEC4","Downregulated"
"C7",1.11270814763871,4.25310489800496,3.74181462196056,0.000225940305621017,0.00294749968303491,0.255118198073574,"C7","Upregulated"
"SERPINB4",-1.12497864114371,5.43667247357249,-3.73802372684603,0.00022919184470927,0.00298329904781779,0.242017428503892,"SERPINB4","Downregulated"
"CP",-1.21445511646384,7.6502529870293,-3.72155409082086,0.000243837975825427,0.0031255111876784,0.185238496042864,"CP","Downregulated"
"TTLL9",-1.15484456869931,7.42718464547602,-3.71988455339374,0.000245370987949797,0.00314002775166876,0.179495283259552,"TTLL9","Downregulated"
"RBM20",-1.27825029076489,6.32515918613728,-3.71587847565222,0.000249086645665094,0.00318065526204597,0.165723759882041,"RBM20","Downregulated"
"SPARC",1.0149511605821,7.30666812647182,3.70636782615246,0.00025812154708177,0.00324840926105421,0.133082539255143,"SPARC","Upregulated"
"CCDC17",-1.18323133344594,8.47956471750517,-3.68764498644842,0.000276818407235268,0.00340157380658661,0.0690431340965247,"CCDC17","Downregulated"
"LOC100652824",-1.0045049002457,6.20789403198511,-3.65655357369854,0.00031071416335312,0.00369479668161211,-0.0366596994449981,"LOC100652824","Downregulated"
"SLC16A9",-1.1037529520975,6.27568069147787,-3.6407768436149,0.000329373572253221,0.00382565887513708,-0.0899894852483021,"SLC16A9","Downregulated"
"CLDN8",-1.25872450092423,6.56169278921029,-3.62165997083047,0.000353397062097826,0.00399051958598318,-0.154332357521089,"CLDN8","Downregulated"
"PPARG",1.04656907777779,6.97634642699073,3.62119816029166,0.000353997302257048,0.00399170843313304,-0.155882936828457,"PPARG","Upregulated"
"FANK1",-1.19233774958754,7.74846812617644,-3.60235754530979,0.000379319421100549,0.0041808679023927,-0.218990725699663,"FANK1","Downregulated"
"ANKFN1",-1.16689640084882,6.12863501823359,-3.58179673559274,0.000408892241309881,0.00440162673128133,-0.287522238367544,"ANKFN1","Downregulated"
"LPL",1.01335746473363,7.50139505471181,3.57092995709751,0.000425383992213258,0.00452940555946041,-0.323599677624036,"LPL","Upregulated"
"DLL1",-1.01230439722066,6.68425584709138,-3.56370943583147,0.000436685377717619,0.00460802008492424,-0.347516975703322,"DLL1","Downregulated"
"LILRB1",1.06060259014288,6.27342839214518,3.55331198715834,0.00045345538986317,0.00472143613323223,-0.381880822837253,"LILRB1","Upregulated"
"C1orf158",-1.14202571312842,6.94832563019152,-3.54783825687233,0.000462525035715404,0.0047757029697375,-0.399935237720113,"C1orf158","Downregulated"
"LTF",-1.03080613648331,6.97645959119266,-3.53522175675807,0.000484082380808131,0.00494832754410607,-0.441453450476862,"LTF","Downregulated"
"FGFR3",-1.05393914064986,7.09791356837788,-3.53236525459432,0.000489092342357898,0.00498869947294021,-0.45083503973059,"FGFR3","Downregulated"
"LINC01207",-1.22363129587701,6.12527853245385,-3.51417094872284,0.000522162218864177,0.00522851321835007,-0.510429562605222,"LINC01207","Downregulated"
"MUC5B",-1.16674580446079,7.47652382921591,-3.48042487998238,0.00058911646681094,0.00568359656105829,-0.620225596891045,"MUC5B","Downregulated"
"TSPAN6",-1.0556404590901,8.81014689413308,-3.4702100105078,0.000610917580235852,0.00581756777519331,-0.653271370353131,"TSPAN6","Downregulated"
"GABRP",-1.38446030015824,6.68293493646996,-3.4523100809535,0.000650951903770575,0.00605658217111855,-0.710966334803393,"GABRP","Downregulated"
"LINC00326",-1.00688930998888,6.50225544986346,-3.44925898176269,0.000658015991951552,0.00610781142331983,-0.72077360948166,"LINC00326","Downregulated"
"DMRT3",-1.00509535692036,5.66761565986417,-3.44549086794111,0.000666839120383065,0.00616901855379188,-0.732874748042518,"DMRT3","Downregulated"
"KRT15",-1.02880920930926,6.60736567893585,-3.42490070892614,0.000717037730441337,0.00647471846347622,-0.798786926040513,"KRT15","Downregulated"
"PTPRZ1",-1.23801710792971,6.75376424605166,-3.38564843391543,0.000822658183018323,0.00707861519161307,-0.923443526986063,"PTPRZ1","Downregulated"
"LOC728196",-1.13795127711295,6.85194964607586,-3.35645628422039,0.00091043743323945,0.0075776358341207,-1.01530228233338,"LOC728196","Downregulated"
"OSBPL6",-1.08961141685172,7.80799098392617,-3.34296650057195,0.000953883436555732,0.0078448574514781,-1.05750527449958,"OSBPL6","Downregulated"
"AGBL2",-1.30852000284736,7.49675658873187,-3.33547119394881,0.000978850484362282,0.00796414705821141,-1.08088737297361,"AGBL2","Downregulated"
"TMPRSS3",-1.06464637912666,6.56159753468885,-3.32531162274047,0.00101366477030932,0.00813568536204322,-1.11250425809305,"TMPRSS3","Downregulated"
"HK3",1.08841715781231,6.03605898676783,3.31698534838985,0.00104305278126745,0.0083152119052212,-1.1383501251661,"HK3","Upregulated"
"OXTR",-1.0381656988295,6.99176315101591,-3.31085524939877,0.00106519404734625,0.00843299535093609,-1.15734089345646,"OXTR","Downregulated"
"C12orf75",-1.19312431332641,7.71928974175993,-3.29936186637433,0.00110789010472261,0.00867177475979389,-1.19286023755082,"C12orf75","Downregulated"
"SLC27A2",-1.14833181868037,7.91745914286206,-3.29863860515687,0.00111062943983496,0.00868258874394328,-1.19509163514536,"SLC27A2","Downregulated"
"WDR49",-1.10560672166405,6.15148085497049,-3.26581467223418,0.00124178874400557,0.00940983023445719,-1.29588790781879,"WDR49","Downregulated"
"RYR3",-1.08669890482843,6.17853032497199,-3.24206604972912,0.00134550304973096,0.00990347243386585,-1.36823909607752,"RYR3","Downregulated"
"FAM179A",-1.04622610274173,8.21103365523252,-3.22538066597077,0.00142311795528396,0.0102711942672039,-1.41878179341204,"FAM179A","Downregulated"
"SPAG6",-1.25042076464803,7.72686089941221,-3.21424991673146,0.00147718151972687,0.0105268915648144,-1.45236533293873,"SPAG6","Downregulated"
"C11orf88",-1.29150974433275,7.81621070325979,-3.20889025405228,0.00150388761897428,0.0106512919861169,-1.46849835226319,"C11orf88","Downregulated"
