"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significance"
2.82868747273612,10.3498326757022,20.7813470694731,7.18605918204026e-42,1.64424220144263e-37,83.4811025492533,"GPX2","Upregulated"
4.9099975605388,9.40838756183013,19.6835152915778,1.18709759212395e-39,1.3580990002694e-35,78.6198558530498,"AKR1B10","Upregulated"
2.91999187877832,10.7805571624253,19.2446692923354,9.54007811046842e-39,7.27621757485426e-35,76.6304501665524,"MUCL1","Upregulated"
1.99518258653283,13.2091773684911,17.9660995022396,4.75119148868839e-36,2.68985751414993e-32,70.6834412081316,"AKR1C2","Upregulated"
2.8859568598721,7.9222764183093,17.9230293887043,5.87792822461852e-36,2.68985751414993e-32,70.4792069012684,"CABYR","Upregulated"
1.78029416674721,12.6801126502222,17.2672791551886,1.54466337421935e-34,5.89057377758548e-31,67.3385525803202,"AKR1C3","Upregulated"
2.65663458222838,13.2799994008419,17.149671373701,2.79189895033083e-34,9.12591998321711e-31,66.7691348501431,"ALDH3A1","Upregulated"
2.83713355720176,7.08136680532105,16.4669813361807,8.96792700419674e-33,2.56493922228782e-29,63.4273773460094,"LOC284825","Upregulated"
2.48984956921085,11.053230016634,15.8239375244601,2.47894370837134e-31,6.30230122124942e-28,60.2240202016636,"ADH7","Upregulated"
1.49132460261056,11.0987375482864,15.7891423472208,2.9707927516675e-31,6.79747089509042e-28,60.0491821750301,"PIR","Upregulated"
1.91641459654741,9.5494940525088,15.7224721485201,4.20394182879983e-31,8.74458118043353e-28,59.7137546547016,"UGT1A1","Upregulated"
1.03016001665503,13.5139437290209,15.2652589639211,4.60936399109633e-30,8.78890479002292e-27,57.3986210480453,"TALDO1","Upregulated"
1.69980781123399,11.5864592947754,14.812145262871,5.06087964446821e-29,8.90753747269825e-26,55.0794113263126,"NQO1","Upregulated"
5.03203455329065,6.42306998646604,13.8103287664352,1.09026543192149e-26,1.78188309627112e-23,49.8699503946004,"CYP1A1","Upregulated"
2.24570188920024,6.86744142550102,13.3017805179793,1.72773421860457e-25,2.63548577705942e-22,47.186488475352,"AHRR","Upregulated"
2.20107385002471,10.4973717325633,13.2561691634613,2.21593155888542e-25,3.16892062492858e-22,46.9446547820273,"AKR1C1","Upregulated"
2.51490089692767,6.30456396282294,13.2363844334396,2.46865246514842e-25,3.32266100323888e-22,46.8396987415859,"ST3GAL4-AS1","Upregulated"
1.03396434404346,10.5055566122824,13.2218236341336,2.67293099155911e-25,3.39774077877022e-22,46.7624334910571,"AKR1B1","Upregulated"
1.30824528501255,9.66256787335,13.1015726483317,5.15714944673145e-25,6.21056507845592e-22,46.1236433190882,"SRXN1","Upregulated"
1.34872209474843,7.73660973029805,12.7497738045472,3.54877103444692e-24,4.059971501959e-21,44.2480855679858,"PHLDA1","Upregulated"
2.17212052544114,6.12351238354939,11.5884435502929,2.17667185676595e-21,2.26383767066644e-18,37.9987608008005,"EGF","Upregulated"
1.90088667425888,8.86363702081867,11.3427774756587,8.52202516930514e-21,8.12468574578628e-18,36.6687269906385,"ME1","Upregulated"
1.69339687752659,7.00611332940231,11.027413986719,4.92279500000229e-20,4.33224893827124e-17,34.9591659292252,"PHEX","Upregulated"
1.44722988172467,9.17541536335246,10.9076308795033,9.58578720594382e-20,8.12342211330372e-17,34.3094437466665,"CBR3","Upregulated"
1.36541808575798,8.87671944206544,10.8857779331305,1.08250650132511e-19,8.84601116314994e-17,34.190897716088,"ATP6V0A4","Upregulated"
1.09736405052938,10.2384406995957,10.780597461625,1.94345652244863e-19,1.53338719621197e-16,33.620296622942,"TRIM16","Upregulated"
2.06359116717013,6.00497295764881,10.5706403387312,6.24898272016308e-19,4.59789798762777e-16,32.4813332815378,"SLC7A11","Upregulated"
2.92541345956541,6.71213480496242,10.5627005946153,6.53110907348756e-19,4.59789798762777e-16,32.4382681222699,"GAD1","Upregulated"
2.67694600537538,4.62201185603742,10.3266820981589,2.4257084712768e-18,1.50007123057526e-15,31.1585263865718,"CYP1B1","Upregulated"
1.65742456792732,10.4936620002215,10.245273310212,3.8129605976921e-18,2.23703465219982e-15,30.7173754888447,"CBR1","Upregulated"
1.22641079786393,8.33164870310729,10.209738309764,4.64488033277546e-18,2.59218309498135e-15,30.524868734884,"G6PD","Upregulated"
1.70581467930347,7.97725123752263,9.86906466364352,3.0735101763279e-17,1.59829514419452e-14,28.681594904475,"ELFN2","Upregulated"
2.24028689566599,6.57770197373886,9.85807307771272,3.26643877436974e-17,1.62476925209465e-14,28.6222066950382,"LOC344887","Upregulated"
1.83628578984402,7.99117103429299,9.79923116286921,4.52448378066434e-17,2.08995263962172e-14,28.3043862396685,"CYP4F3","Upregulated"
2.69434910666398,11.4509992857533,9.77515338247184,5.16944424706877e-17,2.31925595719962e-14,28.174389346913,"CEACAM5","Upregulated"
